Filename	Atlas Name	Biospecimen	Assay	Level	Data File ID	Parent Data File ID	File Format
h_and_e_level_1/HT56P1 A.svs	HTAN WUSTL	HTA12_1_101	H&E	Level 2	HTA12_1_1101		svs
h_and_e_level_1/HT056P1 PB.svs	HTAN WUSTL	HTA12_1_103	H&E	Level 2	HTA12_1_1105		svs
h_and_e_level_1/HT56P B.svs	HTAN WUSTL	HTA12_1_103	H&E	Level 2	HTA12_1_1106		svs
h_and_e_level_1/HT56P1 C.svs	HTAN WUSTL	HTA12_1_105	H&E	Level 2	HTA12_1_1112		svs
h_and_e_level_1/HT56P1 D.svs	HTAN WUSTL	HTA12_1_106	H&E	Level 2	HTA12_1_1113		svs
h_and_e_level_1/HT56P E.svs	HTAN WUSTL	HTA12_1_107	H&E	Level 2	HTA12_1_1114		svs
h_and_e_level_1/HT056P1 P.svs	HTAN WUSTL	HTA12_1_108	H&E	Level 2	HTA12_1_1115		svs
h_and_e_level_1/HT060P P1.svs	HTAN WUSTL	HTA12_2_101	H&E	Level 2	HTA12_2_1101		svs
h_and_e_level_1/HT060P PB.svs	HTAN WUSTL	HTA12_2_101	H&E	Level 2	HTA12_2_1105		svs
h_and_e_level_1/HT60P1 REMAINS.svs	HTAN WUSTL	HTA12_2_102	H&E	Level 2	HTA12_2_1111		svs
h_and_e_level_1/HT61P A.svs	HTAN WUSTL	HTA12_3_101	H&E	Level 2	HTA12_3_1101		svs
h_and_e_level_1/HT61P B .svs	HTAN WUSTL	HTA12_3_102	H&E	Level 2	HTA12_3_1105		svs
h_and_e_level_1/HT61P C.svs	HTAN WUSTL	HTA12_3_103	H&E	Level 2	HTA12_3_1109		svs
h_and_e_level_1/HT64P1 H1.svs	HTAN WUSTL	HTA12_4_101	H&E	Level 2	HTA12_4_1101		svs
h_and_e_level_1/HT64P1 H3.svs	HTAN WUSTL	HTA12_4_102	H&E	Level 2	HTA12_4_1106		svs
h_and_e_level_1/HT64P1 H7.svs	HTAN WUSTL	HTA12_4_103	H&E	Level 2	HTA12_4_1110		svs
h_and_e_level_1/HT64P1 H9.svs	HTAN WUSTL	HTA12_4_104	H&E	Level 2	HTA12_4_1114		svs
h_and_e_level_1/HT071A H1.svs	HTAN WUSTL	HTA12_5_101	H&E	Level 2	HTA12_5_1101		svs
h_and_e_level_1/HT071A H4.svs	HTAN WUSTL	HTA12_5_102	H&E	Level 2	HTA12_5_1102		svs
h_and_e_level_1/HT071A H5 .svs	HTAN WUSTL	HTA12_5_103	H&E	Level 2	HTA12_5_1103		svs
h_and_e_level_1/HT071B H9.svs	HTAN WUSTL	HTA12_5_104	H&E	Level 2	HTA12_5_1104		svs
h_and_e_level_1/HT085P1 H1.svs	HTAN WUSTL	HTA12_6_101	H&E	Level 2	HTA12_6_1101		svs
h_and_e_level_1/HT085P1 H2.svs	HTAN WUSTL	HTA12_6_102	H&E	Level 2	HTA12_6_1102		svs
h_and_e_level_1/HT085P1 H3.svs	HTAN WUSTL	HTA12_6_103	H&E	Level 2	HTA12_6_1103		svs
h_and_e_level_1/HT085P1 H4.svs	HTAN WUSTL	HTA12_6_104	H&E	Level 2	HTA12_6_1104		svs
h_and_e_level_1/HT115P1 H3.svs	HTAN WUSTL	HTA12_7_101	H&E	Level 2	HTA12_7_1101		svs
h_and_e_level_1/HT115P1 H5.svs	HTAN WUSTL	HTA12_7_102	H&E	Level 2	HTA12_7_1102		svs
h_and_e_level_1/HT115P1 H6.svs	HTAN WUSTL	HTA12_7_103	H&E	Level 2	HTA12_7_1103		svs
h_and_e_level_1/HT121P1 H3.svs	HTAN WUSTL	HTA12_8_101	H&E	Level 2	HTA12_8_1101		svs
h_and_e_level_1/HT121P1 H4.svs	HTAN WUSTL	HTA12_8_102	H&E	Level 2	HTA12_8_1102		svs
h_and_e_level_1/HT121P1 H5.svs	HTAN WUSTL	HTA12_8_103	H&E	Level 2	HTA12_8_1103		svs
h_and_e_level_1/HT121P1 H9 A1.svs	HTAN WUSTL	HTA12_8_104	H&E	Level 2	HTA12_8_1104		svs
h_and_e_level_1/HT 122 P1 S1H3 Vp1 U11.svs	HTAN WUSTL	HTA12_9_101	H&E	Level 2	HTA12_9_1101		svs
h_and_e_level_1/HT 122 P1 S1H4 Vp1 U4.svs	HTAN WUSTL	HTA12_9_103	H&E	Level 2	HTA12_9_1105		svs
h_and_e_level_1/HT 122 P1 S1H5 Vp1 U22.svs	HTAN WUSTL	HTA12_9_105	H&E	Level 2	HTA12_9_1108		svs
h_and_e_level_1/HT 122 P1 S1H9 Vp1 U15.svs	HTAN WUSTL	HTA12_9_107	H&E	Level 2	HTA12_9_1111		svs
h_and_e_level_1/HT 123 P1 S1H1 1.svs	HTAN WUSTL	HTA12_10_101	H&E	Level 2	HTA12_10_1101		svs
h_and_e_level_1/HT 123 P1 S1H3 Vp1 U4.svs	HTAN WUSTL	HTA12_10_103	H&E	Level 2	HTA12_10_1104		svs
h_and_e_level_1/HT 123 P1 S1H5 Vp1 U4.svs	HTAN WUSTL	HTA12_10_105	H&E	Level 2	HTA12_10_1107		svs
h_and_e_level_1/HT 124 P1 S1H1 Vp1 U3.svs	HTAN WUSTL	HTA12_11_101	H&E	Level 2	HTA12_11_1101		svs
h_and_e_level_1/HT 124 P1 S1H2 Vp1 U14.svs	HTAN WUSTL	HTA12_11_103	H&E	Level 2	HTA12_11_1104		svs
h_and_e_level_1/HT 124 P1 S1H4 Vp1 U4.svs	HTAN WUSTL	HTA12_11_105	H&E	Level 2	HTA12_11_1107		svs
h_and_e_level_1/HT125P1 H3.svs	HTAN WUSTL	HTA12_12_101	H&E	Level 2	HTA12_12_1101		svs
h_and_e_level_1/HT125P1 H4.svs	HTAN WUSTL	HTA12_12_102	H&E	Level 2	HTA12_12_1102		svs
h_and_e_level_1/HT125P1 H8.svs	HTAN WUSTL	HTA12_12_103	H&E	Level 2	HTA12_12_1103		svs
h_and_e_level_1/HT125P1 H9.svs	HTAN WUSTL	HTA12_12_104	H&E	Level 2	HTA12_12_1104		svs
h_and_e_level_1/HT138P1 H2.svs	HTAN WUSTL	HTA12_13_101	H&E	Level 2	HTA12_13_1101		svs
h_and_e_level_1/HT 138P1 H3.svs	HTAN WUSTL	HTA12_13_102	H&E	Level 2	HTA12_13_1102		svs
h_and_e_level_1/HT138P1 H5.svs	HTAN WUSTL	HTA12_13_103	H&E	Level 2	HTA12_13_1103		svs
h_and_e_level_1/HT-138P1 H6.svs	HTAN WUSTL	HTA12_13_104	H&E	Level 2	HTA12_13_1104		svs
h_and_e_level_1/HT140P1 H1.svs	HTAN WUSTL	HTA12_14_101	H&E	Level 2	HTA12_14_1101		svs
h_and_e_level_1/HT140P1 H3.svs	HTAN WUSTL	HTA12_14_102	H&E	Level 2	HTA12_14_1102		svs
h_and_e_level_1/HT140P1 H6.svs	HTAN WUSTL	HTA12_14_103	H&E	Level 2	HTA12_14_1103		svs
